"","Code","deployment_ID","Length","OpCode","Species","Family","Genus","GRTS_ID","Habitat","Broadscale_habitat","Species_latin","Order","Functional_group","Simplified_functional_group","Commercial_group"
"5",105814,"3015",893.021,"BEN_3015","Nursehound","Scyliorhinidae","Scyliorhinus",101,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"6",105814,"3053",962.862,"BEN_3053","Nursehound","Scyliorhinidae","Scyliorhinus",227,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"7",105814,"3165",1032.098,"BEN_3165","Nursehound","Scyliorhinidae","Scyliorhinus",283,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"8",105814,"3198",1115.236,"BEN_3198","Nursehound","Scyliorhinidae","Scyliorhinus",61,"Sediment","Subtidal seagrass","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"9",105814,"3051",555.622,"BEN_3051","Nursehound","Scyliorhinidae","Scyliorhinus",263,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"10",105814,"3214",863.104,"BEN_3214","Nursehound","Scyliorhinidae","Scyliorhinus",266,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"11",105814,"3242",824.824,"BEN_3242","Nursehound","Scyliorhinidae","Scyliorhinus",219,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"12",105814,"3179",1146.866,"BEN_3179","Nursehound","Scyliorhinidae","Scyliorhinus",38,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"13",105814,"3224",785.607,"BEN_3224","Nursehound","Scyliorhinidae","Scyliorhinus",288,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"14",105814,"3161",730.762,"BEN_3161","Nursehound","Scyliorhinidae","Scyliorhinus",298,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
