"","deployment_ID","Species","Family","Genus","Code","Species_latin","MaxN","GRTS_ID","Broadscale_habitat"
"1","1001","Edible_crab","Cancridae","Cancer",107276,"Cancer pagurus",1,35,"Subtidal sediments"
"2","1001","Common_squid","Loliginidae","Loligo",140271,"Loligo vulgaris",1,35,"Subtidal sediments"
"3","1001","Edible_crab","Cancridae","Cancer",107276,"Cancer pagurus",2,35,"Subtidal sediments"
"4","1001","Spiny_spider_crab","Majidae","Maja",107347,"Maja brachydactyla",1,35,"Subtidal sediments"
"5","1001","goby_spp","Gobiidae","goby_spp",4,NA,4,35,"Subtidal sediments"
"6","1001","juvenile_spp",NA,"juvenile_spp",5,NA,1,35,"Subtidal sediments"
"7","1001","Edible_crab","Cancridae","Cancer",107276,"Cancer pagurus",3,35,"Subtidal sediments"
"8","1001","goby_spp","Gobiidae","goby_spp",4,NA,2,35,"Subtidal sediments"
"9","1001","goby_spp","Gobiidae","goby_spp",4,NA,3,35,"Subtidal sediments"
"10","1001","goby_spp","Gobiidae","goby_spp",4,NA,6,35,"Subtidal sediments"
"11","1001","goby_spp","Gobiidae","goby_spp",4,NA,1,35,"Subtidal sediments"
"12","1001","juvenile_spp",NA,"juvenile_spp",5,NA,1,35,"Subtidal sediments"
"13","1001","goby_spp","Gobiidae","goby_spp",4,NA,5,35,"Subtidal sediments"
"14","1001","goby_spp","Gobiidae","goby_spp",4,NA,8,35,"Subtidal sediments"
"15","1004","Spiny_starfish","Asteriidae","Marthasterias",123803,"Marthasterias glacialis",2,175,"Infralittoral rock"
"16","1004","Goldsinny_wrasse","Labridae","Ctenolabrus",126964,"Ctenolabrus rupestris",2,175,"Infralittoral rock"
"17","1004","Three_bearded_rockling","Gaidropsaridae","Gaidropsarus",126458,"Gaidropsarus vulgaris",1,175,"Infralittoral rock"
"18","1004","Edible_crab","Cancridae","Cancer",107276,"Cancer pagurus",1,175,"Infralittoral rock"
"19","1004","Ballan_wrasse","Labridae","Labrus",126965,"Labrus bergylta",1,175,"Infralittoral rock"
"20","1004","Nursehound","Scyliorhinidae","Scyliorhinus",105814,"Scyliorhinus stellaris",1,175,"Infralittoral rock"
"21","1004","Corkwing_wrasse","Labridae","Symphodus",273571,"Symphodus melops",1,175,"Infralittoral rock"
"22","1007","goby_spp","Gobiidae","goby_spp",4,NA,3,176,"Subtidal sediments"
"23","1007","Spiny_spider_crab","Majidae","Maja",107347,"Maja brachydactyla",2,176,"Subtidal sediments"
"24","1007","crab_spp",NA,"crab_spp",2,NA,1,176,"Subtidal sediments"
"25","1007","goby_spp","Gobiidae","goby_spp",4,NA,4,176,"Subtidal sediments"
"26","1007","crab_spp",NA,"crab_spp",2,NA,2,176,"Subtidal sediments"
"27","1007","Edible_crab","Cancridae","Cancer",107276,"Cancer pagurus",1,176,"Subtidal sediments"
"28","1007","Spiny_spider_crab","Majidae","Maja",107347,"Maja brachydactyla",1,176,"Subtidal sediments"
"29","1007","goby_spp","Gobiidae","goby_spp",4,NA,5,176,"Subtidal sediments"
"30","1007","Spiny_starfish","Asteriidae","Marthasterias",123803,"Marthasterias glacialis",1,176,"Subtidal sediments"
"31","1007","goby_spp","Gobiidae","goby_spp",4,NA,1,176,"Subtidal sediments"
"32","1007","crab_spp",NA,"crab_spp",2,NA,3,176,"Subtidal sediments"
"33","1007","goby_spp","Gobiidae","goby_spp",4,NA,2,176,"Subtidal sediments"
"34","1009","Ballan_wrasse","Labridae","Labrus",126965,"Labrus bergylta",1,185,"Infralittoral rock"
"35","1009","Three_bearded_rockling","Gaidropsaridae","Gaidropsarus",126458,"Gaidropsarus vulgaris",1,185,"Infralittoral rock"
"36","1009","Corkwing_wrasse","Labridae","Symphodus",273571,"Symphodus melops",1,185,"Infralittoral rock"
"37","1009","fish_spp",NA,"fish_spp",3,NA,3,185,"Infralittoral rock"
"38","1009","Edible_crab","Cancridae","Cancer",107276,"Cancer pagurus",1,185,"Infralittoral rock"
"39","1009","Pollack","Gadidae","Pollachius",126440,"Pollachius pollachius",1,185,"Infralittoral rock"
"40","1011","Poor_cod","Gadidae","Trisopterus",126445,"Trisopterus luscus",1,5,"Infralittoral rock"
"41","1011","juvenile_spp",NA,"juvenile_spp",5,NA,7,5,"Infralittoral rock"
"42","1011","Pollack","Gadidae","Pollachius",126440,"Pollachius pollachius",4,5,"Infralittoral rock"
"43","1011","Edible_crab","Cancridae","Cancer",107276,"Cancer pagurus",1,5,"Infralittoral rock"
"44","1011","Cuckoo_wrasse","Labridae","Labrus",151501,"Labrus mixtus",2,5,"Infralittoral rock"
"45","1011","Cuckoo_wrasse","Labridae","Labrus",151501,"Labrus mixtus",1,5,"Infralittoral rock"
"46","1011","Tompot_blenny","Blenniidae","Parablennius",126770,"Parablennius gattorugine",1,5,"Infralittoral rock"
