"","GRTS_ID","Species","MaxN","deployment_ID","Code","Time (HMS)","OpCode","TapeReader","Family","Genus","Has fed","Species_latin","Order","Functional_group","Simplified_functional_group","Commercial_group","ID","VIDEO_ID.x","Date","Stereo / mono","RIG","Target Habitat","Broadscale_habitat","Mixed","Main Habitat","Secondary Habitat","Relief score","Analysed","Lat","Lon","Time.IN (BST)","Time.OUT (BST)","Depth (m).x","Temp (c).x","GTRS Latitude","GTRS Longitude","Time of high tide","Height of tide","Time of low tide","Bait.x","ALT_ID.x","VIDEO_ID.y","Broadscale","Depth (m).y","Temp (c).y","GTRS Latit","GTRS Longi","Time of hi","Height of","Time of lo","Height o_1","Bait.y","ALT_ID.y","Aspect_mean","Slope_mean","Rug_mean","Rug_range","Remoteness","MCZ Status","SAC Status","Exposure","Time_settled","end","obs_time"
"1",1,"Ballan_wrasse",2,"3081",126965,00:18:08,"BEN_3081","OE","Labridae","Labrus","No","Labrus bergylta","Labriformes","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes","136","BEN_3081","23/09/2022","Mono","Mono","Subtidal_sediments","Infralittoral rock","N","Kelp","","2","Y","49.94888424","-6.258754713","16:03:00","17:13:00","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","250 MACKEREL","N","BEN_3081","Infralittoral_rock","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","NA","250 MACKEREL","N","146.709252","2.194905873","2.694806218","3.616338074","1359.6","0","1","56.7","00:01:51",2024-12-04 01:01:51,2024-12-04 00:18:08
"2",1,"Corkwing_wrasse",2,"3081",273571,00:02:50,"BEN_3081","OE","Labridae","Symphodus","No","Symphodus melops","Labriformes","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes","136","BEN_3081","23/09/2022","Mono","Mono","Subtidal_sediments","Infralittoral rock","N","Kelp","","2","Y","49.94888424","-6.258754713","16:03:00","17:13:00","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","250 MACKEREL","N","BEN_3081","Infralittoral_rock","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","NA","250 MACKEREL","N","146.709252","2.194905873","2.694806218","3.616338074","1359.6","0","1","56.7","00:01:51",2024-12-04 01:01:51,2024-12-04 00:02:50
"3",1,"Pollack",3,"3081",126440,00:14:18,"BEN_3081","OE","Gadidae","Pollachius","No","Pollachius pollachius","Gadiformes","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes","136","BEN_3081","23/09/2022","Mono","Mono","Subtidal_sediments","Infralittoral rock","N","Kelp","","2","Y","49.94888424","-6.258754713","16:03:00","17:13:00","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","250 MACKEREL","N","BEN_3081","Infralittoral_rock","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","NA","250 MACKEREL","N","146.709252","2.194905873","2.694806218","3.616338074","1359.6","0","1","56.7","00:01:51",2024-12-04 01:01:51,2024-12-04 00:14:18
"4",1,"Rock_cook",1,"3081",126961,00:09:51,"BEN_3081","OE","Labridae","Centrolabrus","No","Centrolabrus exoletus","Labriformes","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes","136","BEN_3081","23/09/2022","Mono","Mono","Subtidal_sediments","Infralittoral rock","N","Kelp","","2","Y","49.94888424","-6.258754713","16:03:00","17:13:00","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","250 MACKEREL","N","BEN_3081","Infralittoral_rock","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","NA","250 MACKEREL","N","146.709252","2.194905873","2.694806218","3.616338074","1359.6","0","1","56.7","00:01:51",2024-12-04 01:01:51,2024-12-04 00:09:51
"5",1,"Spiny_spider_crab",1,"3081",107347,00:33:43,"BEN_3081","OE","Majidae","Maja","No","Maja brachydactyla","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","136","BEN_3081","23/09/2022","Mono","Mono","Subtidal_sediments","Infralittoral rock","N","Kelp","","2","Y","49.94888424","-6.258754713","16:03:00","17:13:00","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","250 MACKEREL","N","BEN_3081","Infralittoral_rock","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","NA","250 MACKEREL","N","146.709252","2.194905873","2.694806218","3.616338074","1359.6","0","1","56.7","00:01:51",2024-12-04 01:01:51,2024-12-04 00:33:43
"6",1,"juvenile_spp",1,"3081",5,00:04:28,"BEN_3081","OE","Other","juvenile_spp","No","NA","NA","NA","NA","NA","136","BEN_3081","23/09/2022","Mono","Mono","Subtidal_sediments","Infralittoral rock","N","Kelp","","2","Y","49.94888424","-6.258754713","16:03:00","17:13:00","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","250 MACKEREL","N","BEN_3081","Infralittoral_rock","9.5","14.6","49.94888424","-6.258754713","16:26:00","5.1","NA","NA","250 MACKEREL","N","146.709252","2.194905873","2.694806218","3.616338074","1359.6","0","1","56.7","00:01:51",2024-12-04 01:01:51,2024-12-04 00:04:28
"7",2,"Common_dragonet",1,"3201",126792,00:13:20,"BEN_3201","OE","Callionymidae","Callionymus","No","Callionymus lyra","Perciformes","Small demersals (<30 cm)","Demersal fish","Perch likes","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:13:20
"8",2,"Common_sole",1,"3201",127160,00:20:32,"BEN_3201","OE","Soleidae","Solea","No","Solea solea","Pleuronectiformes","Small to medium flatfishes (<90 cm)","Flatfishes","Flatfishes","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:20:32
"9",2,"Edible_crab",3,"3201",107276,00:27:17,"BEN_3201","OE","Cancridae","Cancer","No","Cancer pagurus","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:27:17
"10",2,"Lesser_sandeel",1,"3201",126752,00:12:35,"BEN_3201","OE","Ammodytidae","Ammodytes","No","Ammodytes tobianus","Trachiniformes","Small demersals (<30 cm)","Demersal fish","Other fishes & inverts","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:12:35
