"","GRTS_ID","deployment_ID","Species","Species_latin","MaxN","Time (HMS)","Order","Family","Genus","Functional_group","Simplified_functional_group","Commercial_group","Code","Lat","Lon"
"1",1,"3081","Ballan_wrasse","Labrus bergylta",2,00:18:08,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.94888424","-6.258754713"
"2",1,"3081","Corkwing_wrasse","Symphodus melops",2,00:02:50,"Labriformes","Labridae","Symphodus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",273571,"49.94888424","-6.258754713"
"3",1,"3081","Pollack","Pollachius pollachius",3,00:14:18,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.94888424","-6.258754713"
"4",1,"3081","Rock_cook","Centrolabrus exoletus",1,00:09:51,"Labriformes","Labridae","Centrolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126961,"49.94888424","-6.258754713"
"5",1,"3081","Spiny_spider_crab","Maja brachydactyla",1,00:33:43,"Decapoda","Majidae","Maja","Lobsters, crabs","Crustaceans","Crustaceans",107347,"49.94888424","-6.258754713"
"6",1,"3081","juvenile_spp","NA",1,00:04:28,"NA","Other","juvenile_spp","NA","NA","NA",5,"49.94888424","-6.258754713"
"7",2,"3201","Common_dragonet","Callionymus lyra",1,00:13:20,"Perciformes","Callionymidae","Callionymus","Small demersals (<30 cm)","Demersal fish","Perch likes",126792,"49.92429","-6.33322"
"8",2,"3201","Common_sole","Solea solea",1,00:20:32,"Pleuronectiformes","Soleidae","Solea","Small to medium flatfishes (<90 cm)","Flatfishes","Flatfishes",127160,"49.92429","-6.33322"
"9",2,"3201","Edible_crab","Cancer pagurus",3,00:27:17,"Decapoda","Cancridae","Cancer","Lobsters, crabs","Crustaceans","Crustaceans",107276,"49.92429","-6.33322"
"10",2,"3201","Lesser_sandeel","Ammodytes tobianus",1,00:12:35,"Trachiniformes","Ammodytidae","Ammodytes","Small demersals (<30 cm)","Demersal fish","Other fishes & inverts",126752,"49.92429","-6.33322"
"11",2,"3201","Shore_crab","Carcinus maenas",1,00:23:07,"Decapoda","Carcinidae","Carcinus","Lobsters, crabs","Crustaceans","Crustaceans",107381,"49.92429","-6.33322"
"12",2,"3201","Small_spotted_catshark","Scyliorhinus canicula",1,00:38:53,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.92429","-6.33322"
"13",2,"3201","Spiny_spider_crab","Maja brachydactyla",1,00:21:51,"Decapoda","Majidae","Maja","Lobsters, crabs","Crustaceans","Crustaceans",107347,"49.92429","-6.33322"
"14",2,"3201","Velvet_swimming_crab","Necora puber",2,00:31:53,"Decapoda","Portunidae","Necora","Lobsters, crabs","Crustaceans","Crustaceans",107398,"49.92429","-6.33322"
"15",2,"3201","juvenile_spp","NA",30,00:33:23,"NA","Other","juvenile_spp","NA","NA","NA",5,"49.92429","-6.33322"
"16",3,"1045","Dog_whelk","Nucella lapillus",37,00:15:33,"Neogastropoda","Muricidae","Nucella","Other demersal invertebrates","Demersal invertebrates","Molluscs",140403,"49.94241","-6.29133"
"17",3,"1045","Hermet_crab","Pagurus bernhardus",1,00:03:35,"Decapoda","Paguridae","Pagurus","Lobsters, crabs","Crustaceans","Crustaceans",107232,"49.94241","-6.29133"
"18",3,"1045","Lesser_sandeel","Ammodytes tobianus",48,00:44:42,"Trachiniformes","Ammodytidae","Ammodytes","Small demersals (<30 cm)","Demersal fish","Other fishes & inverts",126752,"49.94241","-6.29133"
"19",3,"1045","Small_spotted_catshark","Scyliorhinus canicula",1,00:03:28,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.94241","-6.29133"
"20",3,"1045","Velvet_swimming_crab","Necora puber",2,00:20:20,"Decapoda","Portunidae","Necora","Lobsters, crabs","Crustaceans","Crustaceans",107398,"49.94241","-6.29133"
"21",4,"3004","Ballan_wrasse","Labrus bergylta",1,00:01:47,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.9012","-6.42119"
"22",4,"3004","Common_spiny_lobster","Palinurus elephas",1,01:00:51,"Decapoda","Palinuridae","Palinurus","Lobsters, crabs","Crustaceans","Crustaceans",107703,"49.9012","-6.42119"
"23",4,"3004","Common_starfish","Asterias rubens",1,00:24:49,"Forcipulatida","Asteriidae","Asterias","Other demersal invertebrates","Demersal invertebrates","Other fishes & inverts",123776,"49.9012","-6.42119"
"24",4,"3004","Common_urchin","Cyanea lamarckii",1,00:01:25,"Semaeostomeae","Echinidae","Echinus","Cnidaria","","",135302,"49.9012","-6.42119"
"25",4,"3004","Conger_eel","Conger conger",2,00:19:23,"Anguilliformes","Congridae","Conger","Large demersals (>=90 cm)","Demersal fish","Other fishes & inverts",126285,"49.9012","-6.42119"
"26",4,"3004","Cuckoo_wrasse","Labrus mixtus",2,00:01:35,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.9012","-6.42119"
"27",4,"3004","European_lobster","Homarus gammarus",1,00:06:37,"Decapoda","Nephropidae","Homarus","Lobsters, crabs","Crustaceans","Crustaceans",107253,"49.9012","-6.42119"
"28",4,"3004","Goldsinny_wrasse","Ctenolabrus rupestris",2,00:02:26,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.9012","-6.42119"
"29",4,"3004","Pollack","Pollachius pollachius",6,00:01:25,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.9012","-6.42119"
"30",4,"3004","Poor_cod","Trisopterus luscus",3,00:09:29,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"49.9012","-6.42119"
"31",5,"1011","Ballan_wrasse","Labrus bergylta",1,00:00:14,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.93579","-6.26553"
"32",5,"1011","Cuckoo_wrasse","Labrus mixtus",2,00:00:24,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.93579","-6.26553"
"33",5,"1011","Edible_crab","Cancer pagurus",1,00:12:30,"Decapoda","Cancridae","Cancer","Lobsters, crabs","Crustaceans","Crustaceans",107276,"49.93579","-6.26553"
"34",5,"1011","Goldsinny_wrasse","Ctenolabrus rupestris",1,00:00:56,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.93579","-6.26553"
"35",5,"1011","Pollack","Pollachius pollachius",9,00:00:09,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.93579","-6.26553"
