"","Length","OpCode","Species","Family","Genus","Code","deployment_ID"
"1",598.962,"BEN2004","Thicklip_mullet","Mugilidae","Chelon",126977,"2004"
"2",70.394,"BEN2004","Pollack","Gadidae","Pollachius",126440,"2004"
"3",200.653,"BEN2004","Corkwing_wrasse","Labridae","Symphodus",273571,"2004"
"4",444.376,"BEN2004","Ballan_wrasse","Labridae","Labrus",126965,"2004"
"5",289.557,"BEN_2005","Ballan_wrasse","Labridae","Labrus",126965,"2005"
"6",45.231,"BEN_2005","Pollack","Gadidae","Pollachius",126440,"2005"
"7",169.072,"PAM_2007","Sand_smelt","Atherinidae","Atherina",127430,"2007"
"8",153.155,"PAM_2007","Corkwing_wrasse","Labridae","Symphodus",273571,"2007"
"9",326.699,"PAM_2007","Ballan_wrasse","Labridae","Labrus",126965,"2007"
"10",428.806,"PAM_2007","Ballan_wrasse","Labridae","Labrus",126965,"2007"
"11",833.811,"PAM_2007","Conger_eel","Congridae","Conger",126285,"2007"
"12",93.705,"PAM_2011","Shore_crab","Carcinidae","Carcinus",107381,"2011"
"13",96.047,"PAM_2011","Shore_crab","Carcinidae","Carcinus",107381,"2011"
"14",308.119,"PAM_2011","Ballan_wrasse","Labridae","Labrus",126965,"2011"
"15",78.053,"PAM_2012","Corkwing_wrasse","Labridae","Symphodus",273571,"2012"
"16",85.956,"PAM_2012","Shore_crab","Carcinidae","Carcinus",107381,"2012"
"17",100.953,"PAM_2012","Shore_crab","Carcinidae","Carcinus",107381,"2012"
"18",77.913,"PAM_2012","Shore_crab","Carcinidae","Carcinus",107381,"2012"
"19",67.281,"PAM_2012","Pollack","Gadidae","Pollachius",126440,"2012"
"20",68.484,"PAM_2012","Pollack","Gadidae","Pollachius",126440,"2012"
"21",76.679,"PAM2014","Pollack","Gadidae","Pollachius",126440,"2014"
"22",81.678,"PAM2014","Shore_crab","Carcinidae","Carcinus",107381,"2014"
"23",264.298,"PAM2014","Ballan_wrasse","Labridae","Labrus",126965,"2014"
"24",84.433,"PAM_2015","Pollack","Gadidae","Pollachius",126440,"2015"
"25",231.281,"PAM_2015","Ballan_wrasse","Labridae","Labrus",126965,"2015"
"26",72.862,"PAM_2022","Shore_crab","Carcinidae","Carcinus",107381,"2022"
"27",119.425,"PAM_2022","Common_sole","Soleidae","Solea",127160,"2022"
"28",55.741,"PAM_2022","Pollack","Gadidae","Pollachius",126440,"2022"
"29",60.564,"PAM_2022","Pollack","Gadidae","Pollachius",126440,"2022"
"30",154.202,"PAM_2024","Ballan_wrasse","Labridae","Labrus",126965,"2024"
"31",114.659,"PAM_2024","Ballan_wrasse","Labridae","Labrus",126965,"2024"
"32",86.001,"PAM_2024","Corkwing_wrasse","Labridae","Symphodus",273571,"2024"
"33",75.375,"PAM_2024","Pollack","Gadidae","Pollachius",126440,"2024"
"34",57.946,"PAM_2024","Pollack","Gadidae","Pollachius",126440,"2024"
"35",110.514,"PAM_2024","Pollack","Gadidae","Pollachius",126440,"2024"
"36",361.79,"PAM_2031","Ballan_wrasse","Labridae","Labrus",126965,"2031"
"37",101.559,"PAM_2031","Corkwing_wrasse","Labridae","Symphodus",273571,"2031"
"38",65.803,"PAM_2031","Pollack","Gadidae","Pollachius",126440,"2031"
"39",63.342,"PAM_2031","Pollack","Gadidae","Pollachius",126440,"2031"
"40",42.639,"PAM_2031","Pollack","Gadidae","Pollachius",126440,"2031"
"41",63.017,"PAM_2039","Cuckoo_wrasse","Labridae","Labrus",151501,"2039"
"42",40.374,"PAM_2039","Rock_cook","Labridae","Centrolabrus",126961,"2039"
"43",76.586,"PAM_2039","Pollack","Gadidae","Pollachius",126440,"2039"
"44",81.557,"PAM_2039","Pollack","Gadidae","Pollachius",126440,"2039"
"45",143.048,"PAM_2039","Corkwing_wrasse","Labridae","Symphodus",273571,"2039"
"46",281.529,"PAM_2039","Ballan_wrasse","Labridae","Labrus",126965,"2039"
"47",126.508,"PAM_2040","Corkwing_wrasse","Labridae","Symphodus",273571,"2040"
"48",178.801,"PAM_2040","Corkwing_wrasse","Labridae","Symphodus",273571,"2040"
"49",330.062,"PAM_2040","Ballan_wrasse","Labridae","Labrus",126965,"2040"
"50",305.034,"PAM_2040","Ballan_wrasse","Labridae","Labrus",126965,"2040"
"51",113.722,"PAM_2040","Pollack","Gadidae","Pollachius",126440,"2040"
"52",94.804,"PAM_2040","Pollack","Gadidae","Pollachius",126440,"2040"
"53",224.167,"PAM_2044","Corkwing_wrasse","Labridae","Symphodus",273571,"2044"
"54",344.347,"PAM_2044","Ballan_wrasse","Labridae","Labrus",126965,"2044"
"55",373.56,"PAM_2044","Pollack","Gadidae","Pollachius",126440,"2044"
"56",133.163,"PAM_2044","Pollack","Gadidae","Pollachius",126440,"2044"
"57",91.137,"PAM_2046","Velvet_swimming_crab","Portunidae","Necora",107398,"2046"
"58",340.302,"PAM_2046","Ballan_wrasse","Labridae","Labrus",126965,"2046"
"59",251.336,"PAM_2046","Ballan_wrasse","Labridae","Labrus",126965,"2046"
"60",88.532,"PAM_2046","Shore_crab","Carcinidae","Carcinus",107381,"2046"
"61",207.863,"PAM_2046","Corkwing_wrasse","Labridae","Symphodus",273571,"2046"
"62",103.552,"PAM_2046","Corkwing_wrasse","Labridae","Symphodus",273571,"2046"
"63",82.146,"PAM_2046","Pollack","Gadidae","Pollachius",126440,"2046"
"64",76.738,"PAM_2046","Pollack","Gadidae","Pollachius",126440,"2046"
"65",52.604,"PAM_2046","Rock_cook","Labridae","Centrolabrus",126961,"2046"
"66",636.23,"PAM_2046","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",105815,"2046"
"67",69.158,"PAM_2047","Shore_crab","Carcinidae","Carcinus",107381,"2047"
"68",67.102,"PAM_2047","Shore_crab","Carcinidae","Carcinus",107381,"2047"
"69",94.244,"PAM_2047","sandeel_spp","Hyperoplus lanceolatus","sandeel_spp",6,"2047"
"70",105.026,"PAM_2047","sandeel_spp","Hyperoplus lanceolatus","sandeel_spp",6,"2047"
"71",89.777,"PAM_2047","sandeel_spp","Hyperoplus lanceolatus","sandeel_spp",6,"2047"
"72",76.986,"PAM_2049","Velvet_swimming_crab","Portunidae","Necora",107398,"2049"
"73",397.197,"PAM_2049","Thicklip_mullet","Mugilidae","Chelon",126977,"2049"
